Filename;ActivityName;Location;ReferenceProduct
8a9b213c-d48a-4f4d-8efd-fa1252c2ec56_b19e917c-7e52-4444-ada8-fea8fcfb1790.spold;market for white lined chipboard carton;RER;white lined chipboard carton
8aa18fee-7ed7-4ea7-b7b5-5255e1f5d881_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, natural gas, combined cycle power plant;IR;electricity, high voltage
8aa2b4ee-187e-41fd-b5cf-27d107ae3850_8c6447d2-fbe1-49dd-8a29-8b3c843e719f.spold;market for maintenance, mini CHP plant;GLO;maintenance, mini CHP plant
8aa669cd-d4e8-477a-bbbd-99d4d5898625_8d125c13-3754-415f-95e6-ec7609eb5c25.spold;deinking emulsion production, in paper production;RER;deinking emulsion, in paper production
8aa9500a-b3f5-47f0-99a0-32f5b0b18830_dae141a8-7daa-4f03-a649-b85b718ac65b.spold;treatment of waste glass, open dump, hyperarid infiltration class (-250mm);GLO;waste glass
8ab2b970-e71d-41b7-bf16-fc27250b28d9_c5299a8e-d4b4-409c-9826-e8ae9e37c03d.spold;market for cement, Portland;BR;cement, Portland
8ab50ce7-91ec-4ecc-b965-a07723da100a_d0123246-cb50-447f-8df1-74e1119a2114.spold;uranium production, diffusion, enriched 3.8%;FR;uranium, enriched 3.8%, per separative work unit
8ab9b882-6ec9-4bc8-8286-e82519322068_c4842286-21e6-4142-bc35-f2c36f1d68a2.spold;market for silica sand;GLO;silica sand
8ac35601-57c3-4fde-940d-19bf61613bb1_dd0af955-5bc0-42fc-8ce1-5e697a1f2cd7.spold;uranium hexafluoride production;RoW;uranium hexafluoride
8ac6fe2f-9ef5-47d2-8fde-88580e2d0220_b80eb2d5-1256-41bb-a61d-83252d0dfd4d.spold;diesel, low-sulfur, import from RoW;ZA;diesel, low-sulfur
8aca65d3-d9a7-4a14-b560-d4fcc9532c8d_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, import from NO;NL;electricity, high voltage
8acc5081-3992-4f6a-96ec-dceb9fa1c245_c33b5236-001e-49b5-aa3d-810c0214f9ce.spold;market for steel, chromium steel 18/8;GLO;steel, chromium steel 18/8
8acd8dcf-1df7-45aa-b03e-9863d33fcdf6_7fe99768-d571-4bc2-a272-7df585bd0d48.spold;market for wood chips, wet, measured as dry mass;RoW;wood chips, wet, measured as dry mass
8ace38d2-eba1-400d-b70c-1fbe21eed70e_1ff7f238-0259-4b52-8c62-503a50be5a46.spold;ethoxylated alcohol (AE3) production, coconut oil;RoW;ethoxylated alcohol (AE3)
8ad66d78-29fb-413e-a499-73d846a7fa7d_f9a99959-0ebf-43d7-b70a-3e311c524d7e.spold;sour gas, burned in gas turbine;RoW;sour gas, burned in gas turbine
8ad7b4f5-4546-4207-a833-caa097991d59_7c3dbbb9-cc2d-43e8-acf9-abfa115d2ae5.spold;treatment of sulfidic tailings, from copper mine operation, tailings impoundment;RoW;sulfidic tailings, from copper mine operation
8ad8d25b-e89d-4164-8dce-fe6b24cf315c_66c93e71-f32b-4591-901c-55395db5c132.spold;ethanol production from wood;SE;electricity, high voltage
8ad8d25b-e89d-4164-8dce-fe6b24cf315c_ffcb8cbb-77ab-4f87-8a94-87ca5b8ea79e.spold;ethanol production from wood;SE;ethanol, without water, in 95% solution state, from fermentation
8ad9ee6d-8e94-40f3-94ee-78eeaf2f2616_eee5f6b0-7c73-473a-9e27-82d38ae3661b.spold;market for transport, freight, lorry >32 metric ton, unregulated;ZA;transport, freight, lorry >32 metric ton, unregulated
8ada03c6-1095-47e1-b9b3-222f3e02e3a5_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;electricity, from municipal waste incineration to generic market for electricity, medium voltage;CA-ON;electricity, medium voltage
8add3b26-9d67-45a0-9b87-dec31624c704_45fbbc41-7ae9-46cc-bb31-abfa11e69de0.spold;market for heat, for reuse in municipal waste incineration only;LU;heat, for reuse in municipal waste incineration only
8ae11135-2dfd-4986-8f68-15b3c74bc4d7_d7ff1811-40af-5f9c-a645-21a05091fa39.spold;market for aluminium, in mixed metal scrap;RoW;aluminium, in mixed metal scrap
8ae2b490-7daf-4908-8aa5-7b5797c5409c_e7a3abb3-289e-4246-b875-6aabe1a7ad79.spold;market for compressed air, 1000 kPa gauge;RoW;compressed air, 1000 kPa gauge
8ae4131d-e8bc-4dcc-be09-4edca834da05_081e318e-b5f5-4f93-8c48-ab0bf5c43f2a.spold;carbon black production;GLO;carbon black
8aecc422-e95f-40af-bced-eef913e3a9da_618bf4eb-bee5-4d38-8e4f-78cfebf779be.spold;market for scrap aluminium;Europe without Switzerland;scrap aluminium
8af74603-c673-4745-9e79-48f6f1197f40_6f2eb438-cde2-4d07-a770-d023a988a9c4.spold;market for waste wood, untreated;RoW;waste wood, untreated
8af82283-4a66-46a3-bcd6-981778ed2d2f_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, production mix;TJ;electricity, high voltage
8afad0f1-67e8-47fe-9d20-3b551f699487_7c2f8db1-1d7f-4528-a232-8203587d4a4d.spold;packing, lime product;RoW;packing, lime product
8afad147-e319-4661-a695-1853853faf0a_b3c58f5d-5815-487c-8b9c-4366e00d22dc.spold;heat production, natural gas, at boiler atm. low-NOx condensing non-modulating <100kW;Europe without Switzerland;heat, central or small-scale, natural gas
8afe6204-cec8-4979-8802-73b70fcf59c0_a99b6ce9-9b10-44d6-8927-75c21427d045.spold;market for used liquid crystal display module;CH;used liquid crystal display module
8b03597b-2c6d-4a5d-98b8-efa74e37b759_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, import from VE;CO;electricity, high voltage
8b0d1f66-a9e8-46a5-80c5-95ad2f672f07_7c4dafff-fe18-45c0-92e4-857950032abb.spold;nutrient supply from potassium chloride sludge;GLO;inorganic potassium fertiliser, as K2O
8b0fcde2-dc04-4775-bf0e-66f37f190868_c2019cb4-7797-4efd-b9fa-67925d5dea61.spold;operation, computer, laptop, active mode;Europe without Switzerland;operation, computer, laptop, active mode
8b110157-04e2-4ecf-8727-1dee9f208979_db66eb0b-7b48-4300-8134-2c851292cc14.spold;anode production, prebake, for aluminium electrolysis;IAI Area, Africa;anode, prebake, for aluminium electrolysis
8b120939-14f9-433a-a1a0-70b0f2cf3358_8cf5de7a-4796-4cfc-bd53-9b7148841b20.spold;tillage, rotary cultivator;RoW;tillage, rotary cultivator
8b1355b4-9f3c-4eb9-b8d6-f414bfc2eb7f_cee6769c-ac58-45d5-9597-de2569031d74.spold;market for waste paint;RoW;waste paint
8b14e7cd-2b1b-46e4-873c-5940134317ca_4d61cb2c-dfb3-4e61-9824-f4ca595d21e8.spold;impact extrusion of steel, hot, tempering;RoW;impact extrusion of steel, hot, tempering
8b195213-f5d0-4f88-a3ac-19b855ff1185_de2715c2-36f5-433f-9aa1-0f1177c37690.spold;market for glass tube, borosilicate;GLO;glass tube, borosilicate
8b1c4e8d-6616-47a5-869e-1be75de14919_ff7a13da-3665-469e-a211-4ab06801c7ea.spold;market for shavings, softwood, measured as dry mass;Europe without Switzerland;shavings, softwood, measured as dry mass
8b1d0100-23a0-48d6-9a44-f967be07acbe_cb4737ad-692c-4006-9b99-853be76f6ad9.spold;tin plated chromium steel sheet production, 2 mm;RoW;tin plated chromium steel sheet, 2 mm
8b1d59c4-4a01-4bb1-998a-241442091365_bc15cbd3-ada1-4401-8eb3-cbba3cb7536c.spold;market for wastewater from soft fibreboard production;RoW;wastewater from soft fibreboard production
8b1e0665-664f-4140-8732-f54d63baa6a0_9cdb112b-0d90-4d76-9cec-412b0c67d8bb.spold;market for waste polyurethane;IT;waste polyurethane
8b1eb1c1-2697-4643-ac45-14beb2c215bd_d72638dc-71b8-4c4f-b5c7-72cbe6bdd145.spold;building construction, hall;CH;building, hall
8b1fbee1-377f-4006-9499-5ecbd0946cad_3d3268fa-3c9e-43e0-be88-3dfd53718719.spold;esterification of rape oil;Europe without Switzerland;glycerine
8b1fbee1-377f-4006-9499-5ecbd0946cad_4bc66efe-f91b-48e5-9a26-07e383d47e80.spold;esterification of rape oil;Europe without Switzerland;fatty acid methyl ester
8b288376-5527-4513-b955-ee8fb45bdf7c_7c2f8db1-1d7f-4528-a232-8203587d4a4d.spold;packing, lime product;CH;packing, lime product
8b2a287f-dec9-4144-b6de-f3c359184b6a_5cb475d3-4cfa-432f-853b-c4b5254dc7e8.spold;uranium production, centrifuge, enriched 4.0%;RoW;uranium, enriched 4.0%, per separative work unit
8b2dbdfb-b598-47e3-922f-518660ba636c_818559f3-b129-4e35-9b12-b5ab589c178a.spold;treatment of waste plaster-cardboard sandwich, recycling;CH;waste plaster-cardboard sandwich
8b2dce90-d0ff-4d46-ae27-18f3b7f21460_3f5f5aef-3833-43d4-8b81-44123105afd7.spold;irrigation, drip;PE;irrigation
8b35bbca-2914-4b9b-97d0-2adbbdb3155f_7b86fd17-874f-493b-bf2b-c8f8364d753a.spold;geothermal power plant construction, Hot-Dry-Rock;GLO;geothermal power plant, Hot-Dry-Rock
8b397ce0-53f7-49a3-b9f1-4d4594df2d7a_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hydro, pumped storage;CN-LN;electricity, high voltage
8b3e4d21-fd43-4c3c-ade9-3ad2f9e86f79_9b9edcf3-0539-4642-9516-0df642a5c41a.spold;land already in use, perennial cropland to perennial crop;BR-SP;land tenure, arable land, measured as carbon net primary productivity, perennial crop
8b3e62a7-9580-4866-a781-29e202d38115_51202bed-5f41-4b96-a788-9f6649dcb3c8.spold;market for iron (III) chloride, without water, in 40% solution state;GLO;iron (III) chloride, without water, in 40% solution state
8b3e882d-bb3b-46f4-9c5c-f7ae15ad6c1c_5152317a-00c9-5492-8c22-26e8f133626e.spold;rare earth oxides production, from rare earth carbonate concentrate;CN-FJ;samarium oxide
8b3eaf9b-7b5e-43ee-9946-254e7928dbca_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, wind, <1MW turbine, onshore;CA-NB;electricity, high voltage
8b3f0a19-cf22-4b36-b414-59cc8decc943_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, import from BT;IN-Eastern grid;electricity, high voltage
8b412b15-442c-4bf7-a70c-925238a2bd24_aa0d7c65-0f57-49ed-a01e-01f2b4bc4ac4.spold;impact extrusion of aluminium, 4 strokes;RoW;impact extrusion of aluminium, 4 strokes
8b41b71b-c7fa-4346-9e81-31726bd349e8_3f5f5aef-3833-43d4-8b81-44123105afd7.spold;irrigation, surface;CH;irrigation
8b43b8af-4c9e-4997-8826-4b72ab88f7e1_73585052-b3e9-4cde-832d-2db3272d2ae5.spold;market for transport, freight, lorry 7.5-16 metric ton, EURO6;RER;transport, freight, lorry 7.5-16 metric ton, EURO6
8b43fa52-367c-4ba5-8666-628a51e8410c_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hydro, run-of-river;CH;electricity, high voltage
8b47241a-5a9f-44cc-8356-49a949a34834_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;electricity voltage transformation from high to medium voltage;AO;electricity, medium voltage
8b4bfae3-3539-4203-91ff-b112f1c8f9ed_d11b6468-c23b-4139-bd97-2dd8542a7ead.spold;polystyrene foam slab for perimeter insulation;CH;polystyrene foam slab for perimeter insulation
8b4ff522-5f14-4c23-b55d-34b4c4ed9aa2_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, production mix;UY;electricity, high voltage
8b53677b-66c2-4853-b9b3-7b38416d49bf_575d9e48-c61d-4f6f-b765-dac7e8665547.spold;extrusion, co-extrusion of plastic sheets;RoW;extrusion, co-extrusion
8b569b9e-cfb4-41bb-8942-e854defa8f06_3990b197-a303-4c36-ae1c-c2ddebaad744.spold;kerosene production, petroleum refinery operation;BR;kerosene
8b5964e8-2714-4e68-a56c-a73cdc7eadfb_15442876-adcd-4acd-8f5b-bfca7ecab125.spold;treatment of electronics scrap from control units;RoW;electronics scrap from control units
8b5a73ca-f502-45c5-94fe-e62aeeb6da40_5b808359-1aed-4a46-aba5-993226763791.spold;market for dimethyl sulfate;RER;dimethyl sulfate
8b5c17ce-e05d-4252-bba3-05080a6c7059_c5adb1fb-872e-4446-a3bb-c4b61aa4bd45.spold;tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage;GLO;tap water
8b5cff79-8582-48de-9f5e-da2708c68e3a_b1e480cc-6707-4f7f-898d-a7dc46437d3b.spold;hot rolling, steel;Europe without Austria;hot rolling, steel
8b601b56-2b86-4524-bd91-039f7a271ea3_54894ebe-5eae-4fd7-8d35-f715e15c673b.spold;market for inert filler;GLO;inert filler
8b84dd42-5903-4f88-bbc0-4f4d3171bb4e_63b19600-43b7-42f4-bb72-172da4012027.spold;aluminium turning, average, conventional;RER;aluminium removed by turning, average, conventional
8b86e864-735a-4dbf-9713-5b28dcc79706_9b9edcf3-0539-4642-9516-0df642a5c41a.spold;market for land tenure, arable land, measured as carbon net primary productivity, perennial crop;PE;land tenure, arable land, measured as carbon net primary productivity, perennial crop
8b87301f-5778-4f45-8de9-bd4d52c8f098_69cbcb81-5233-4753-adbe-fd3275500901.spold;synthetic graphite production, battery grade;CN;synthetic graphite, battery grade
8b947c7f-2657-444a-860f-9324c5edd392_f5adb8c0-0bad-4e7f-b8bc-f2a3ea5c6445.spold;market for dimethylamine borane;GLO;dimethylamine borane
8b9dc1fa-9eb8-423d-9565-a2d70e91fb7e_68db7412-ba35-488b-8a45-9a9f48448522.spold;market for nitric acid, without water, in 50% solution state;RER w/o RU;nitric acid, without water, in 50% solution state
8b9ef099-1d20-4300-a373-0f017a0b5600_9b9edcf3-0539-4642-9516-0df642a5c41a.spold;market for land tenure, arable land, measured as carbon net primary productivity, perennial crop;BR-AL;land tenure, arable land, measured as carbon net primary productivity, perennial crop
8ba03901-a562-49d1-8146-1bb09b5bc5a2_f2c644de-0c8d-4194-83fb-02e1e83d04ab.spold;mastic asphalt production;RoW;mastic asphalt
8ba0e431-3891-4a30-9550-2a7eb3d43c4a_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, oil;CN-NX;electricity, high voltage
8bac8652-4587-40c9-8deb-3086c9a11b6f_6f13ac10-76f1-42c1-a46e-7dabda411274.spold;fibre production, jute, retting;RoW;stalk
8bac8652-4587-40c9-8deb-3086c9a11b6f_aabed306-e9a0-4441-86ac-5936fe671ed2.spold;fibre production, jute, retting;RoW;fibre, jute
8bb47896-ef52-42d3-86fb-2021380f9d8c_77bc11a8-289d-5b23-b0eb-d00b2f9a4be9.spold;market for blast furnace dust, for recovery;RoW;blast furnace dust, for recovery
8bb4fd11-84e9-437b-8c56-fe5bb724c99a_f372d4c2-7310-4fb9-8bb6-bee214fd08d1.spold;market for land use change, perennial crop;GH;land use change, perennial crop
8bb5d1ee-6d8d-4af9-8d99-ac2df214e677_8d625863-c5b3-4d35-9881-551a40be00cd.spold;sulfidic tailing, off-site, high gold content, Recycled Content cut-off;GLO;sulfidic tailing, off-site, high gold content
8bb91edf-4e59-46ef-b595-71766bcbb144_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, natural gas, combined cycle power plant;CN-JL;electricity, high voltage
8bbba7c1-cb68-40b7-9558-ec8a5f8ac50f_118a9202-6b68-44aa-82b5-2c2bf5bc02cf.spold;market for formic acid;RoW;formic acid
8bbc2a15-63c9-41e1-bd9b-b2cbe3c4720e_f058600f-e021-4677-91fd-b93e5286a4de.spold;market for blower and heat exchange unit, Storkair G 90;GLO;blower and heat exchange unit, Storkair G 90
8bbd185b-a9cc-42a6-b46d-14d541fedb27_777bc26c-02e7-441e-a487-e4d4a87dae49.spold;treatment of waste emulsion paint, sanitary landfill;Europe without Switzerland;waste emulsion paint
8bc70084-4054-41bf-8df6-b2d8ba7085ac_66c93e71-f32b-4591-901c-55395db5c132.spold;treatment of coal gas, in power plant;KR;electricity, high voltage
8bc70084-4054-41bf-8df6-b2d8ba7085ac_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;treatment of coal gas, in power plant;KR;heat, district or industrial, other than natural gas
8bcf8518-fa25-46f6-8674-5f71ca3a22a8_edf7f547-4078-41a0-984d-e0c55c185f3b.spold;clinker production;CH;pyrite ash
8bd212eb-67a0-45d4-87e2-051c1ab45419_cfbce515-3f54-4411-ad9d-3d26b7faa15a.spold;transport, freight, lorry, all sizes, EURO6 to generic market for transport, freight, lorry, unspecified;RoW;transport, freight, lorry, unspecified
8bd2ccb1-f773-49db-b446-1bc7d991cf77_7e04560f-3d56-57a7-9a92-04237f3014c9.spold;market for NPK (26-15-15) fertiliser;RER;NPK (26-15-15) fertiliser
8bd6e74d-bb5c-4648-8ca9-b5dc1a03c16e_3ab60559-40d3-42e4-9cac-476a519098fa.spold;allyl chloride production, reaction of propylene and chlorine;RoW;hydrochloric acid, without water, in 30% solution state
8bd6e74d-bb5c-4648-8ca9-b5dc1a03c16e_51d011ea-b1ac-42a4-88d4-533d95994812.spold;allyl chloride production, reaction of propylene and chlorine;RoW;dichloropropene
8bd6e74d-bb5c-4648-8ca9-b5dc1a03c16e_59984322-d17b-47b2-92bd-1c54912a2094.spold;allyl chloride production, reaction of propylene and chlorine;RoW;allyl chloride
8bda3db5-f8e1-4a5f-b1ba-f0a49d7b3a8a_7566f905-29c9-45d6-b2ff-65980f38e3a0.spold;transport, freight, train with reefer, freezing;GLO;transport, freight, train with reefer, freezing
8bdff03e-090e-4cfb-a982-18b9e71bdf3e_68db7412-ba35-488b-8a45-9a9f48448522.spold;market for nitric acid, without water, in 50% solution state;RAF;nitric acid, without water, in 50% solution state
8be03e6f-c9bd-43fa-ac02-d0d7fda0799f_699f15e5-d6b7-4bf2-aca6-364178e11377.spold;foam glass production, electricity from renewable energy products;RER;foam glass, electricity from renewable energy products
8be29dd2-68f0-44cd-8a7d-fe2788a7b38b_807906d0-f3cb-4a7c-a528-ae497a61bf12.spold;1,1-difluoroethane production, HFC-152a;US;1,1-difluoroethane, HFC-152a
8beacc9b-3454-4a8e-a47b-11eb93f18b61_a5fc651b-3ee2-405f-b2f0-d035c8132be1.spold;market for metal working, average for chromium steel product manufacturing;GLO;metal working, average for chromium steel product manufacturing
8bf5f6ca-fa77-4abc-a919-2a3e5457d5cc_1d32b849-121f-4d23-853c-fa2bf55c42e9.spold;market for land use change, annual crop;BR-SP;land use change, annual crop
8bfb2221-905a-4490-9ce3-7e4fb0976925_006863b7-d736-4eb6-bbf8-648d292184ad.spold;building construction, multi-storey;RoW;building, multi-storey
8bfc7892-5c6e-4431-82d8-fe371b67f229_88afd721-07ec-4910-a004-fa3fecb6bf70.spold;market for waste plastic, mixture;RO;waste plastic, mixture
8c06ec6a-39a6-4cbe-b6c7-5876312bda76_8931016e-3e07-5c9a-91a6-cd85b90a2aaa.spold;clear-cutting, primary forest to arable land, pasture, man made;BR-AC;land tenure, arable land, measured as carbon net primary productivity, pasture, man made
8c07d80b-336d-4d57-8d7e-331d24d581d1_ad2a5d44-4e6d-430d-873b-0068ea24b9d5.spold;market for integrated circuit, logic type;GLO;integrated circuit, logic type
8c0de700-711e-46d8-a856-e8a728d3f6c9_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;market for electricity, medium voltage;CA-ON;electricity, medium voltage
8c151eda-458b-4484-b2c1-4077070c0335_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;heat production, heavy fuel oil, at industrial furnace 1MW;CH;heat, district or industrial, other than natural gas
8c152c53-768c-49c1-bc1e-91782ca2b9aa_4c2b1cc3-84e5-4e35-b74e-8815eadbc674.spold;market for [sulfonyl]urea-compound;GLO;[sulfonyl]urea-compound
8c198af1-427a-48d8-8870-f46b8f863c49_27a9b2b8-30cd-45a6-bf1a-9c1f7afde003.spold;treatment of waste gypsum, inert material landfill;CH;waste gypsum
8c19b78c-e8f5-4e1f-a64d-0a25bf575fa0_00478901-732f-4bf4-81cc-2255f9874512.spold;market for waste polypropylene;FI;waste polypropylene
8c1ecc1d-d28d-454e-a623-729cfca2186b_2540e7b1-583b-49c3-a53f-db748f92f730.spold;market for sulfate pulp, bleached;RoW;sulfate pulp, bleached
8c234618-3e23-4789-a73d-db393ce746e8_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;electricity voltage transformation from high to medium voltage;LK;electricity, medium voltage
8c28c316-5506-4bd3-8a28-ebf7efdd74ad_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, natural gas, combined cycle power plant;SK;electricity, high voltage
8c294ed5-7fae-4857-94a2-eb05017793b8_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity voltage transformation from medium to low voltage;MT;electricity, low voltage
8c296856-671a-49a2-a759-188f41ebd445_35aaa820-f658-46a1-bbef-01add21fec97.spold;market for sewer grid, 4.7E10l/year, 583 km;GLO;sewer grid, 4.7E10l/year, 583 km
8c2be761-1141-4d96-af33-4d7dd016c007_e4520ec5-8993-5440-ad8f-6400804f1f2c.spold;market for basic oxygen furnace dust;RER;basic oxygen furnace dust
8c3284bc-421c-435c-8178-3f9acc0e4af0_9b9edcf3-0539-4642-9516-0df642a5c41a.spold;land already in use, perennial cropland to perennial crop;BR-PR;land tenure, arable land, measured as carbon net primary productivity, perennial crop
8c338642-04dc-420e-bcdb-592c1b04f58d_4c2bb0f0-422d-4fb3-bcfe-a36ef1b55874.spold;land already in use, annual cropland to annual crop;BR-CE;land tenure, arable land, measured as carbon net primary productivity, annual crop
8c36e22b-434b-4452-b70c-3c47decc0eb6_3d3268fa-3c9e-43e0-be88-3dfd53718719.spold;esterification of vegetable oils and animal fats, average mix;BR;glycerine
8c36e22b-434b-4452-b70c-3c47decc0eb6_4bc66efe-f91b-48e5-9a26-07e383d47e80.spold;esterification of vegetable oils and animal fats, average mix;BR;fatty acid methyl ester
8c42d893-c7a2-4397-a0d8-a48d707a684b_6e74937e-b691-4c49-9b8f-5ba44d7c081d.spold;treatment of electric arc furnace slag, residual material landfill;CH;electric arc furnace slag
8c43538c-86a7-408d-acc9-7897bff648fd_0083557d-e51d-4a48-9de8-4a57be6b1fa5.spold;board, softwood, raw, kiln drying to u=20%;CH;sawnwood, board, softwood, raw, dried (u=20%)
8c43a1f5-c4b8-4b1c-94a5-564daf513f17_f89244f2-c60e-455b-ba2a-6ed369955d60.spold;gas power plant construction, 100MW electrical;RER;gas power plant, 100MW electrical
8c466ff0-d26f-4560-a4a7-884cfbcbc0df_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, production mix;BY;electricity, high voltage
8c4b3f10-cf09-45ab-9ff2-f8598fe3e0e0_d59e8c63-4d09-4055-9b75-24ee6db4533e.spold;bus production;RER;bus
8c519ada-3490-4237-be06-32dcb0a624f1_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, production mix;LY;electricity, high voltage
8c529a33-7166-43b1-a8bf-58287ad75002_dd80f0f2-f4d5-40f0-9035-09c1a7f3f07b.spold;heat production, light fuel oil, at boiler 10kW, non-modulating;CH;heat, central or small-scale, other than natural gas
8c5c03b2-c964-452f-8785-7a4976ae036c_44e8a892-3178-4352-a898-722e68990fe9.spold;market for ethylene;RoW;ethylene
8c5dacd5-186e-447e-988c-7b4dfee0f15d_7df87cd6-22cd-4010-ab95-b1a02917bbfe.spold;treatment of waste aluminium, sanitary landfill;CH;waste aluminium
8c61329a-350f-457f-b7cd-6bda5d48fd7c_5e60f8eb-afd3-4dbd-a12a-a5c022835449.spold;oil boiler production, 10kW;RoW;oil boiler, 10kW
8c6200a4-5c9d-4785-ac9f-6f1bfcae8a1e_1125e767-7b5d-442e-81d6-9b0d3e1919ac.spold;heat and power co-generation, natural gas, 200kW electrical, lean burn;CH;heat, district or industrial, natural gas
8c6200a4-5c9d-4785-ac9f-6f1bfcae8a1e_66c93e71-f32b-4591-901c-55395db5c132.spold;heat and power co-generation, natural gas, 200kW electrical, lean burn;CH;electricity, high voltage
8c65dbe9-4469-44d8-ba74-358583bac2aa_254f15c9-25c1-4f01-a416-5c1359124d97.spold;market for metal working machine, unspecified;RER;metal working machine, unspecified
8c6656ce-3ccf-464c-b101-9d84d0d4f5b3_3728ce01-009e-4b64-94d4-3c3e9fabf888.spold;treatment of waste cement in concrete and mortar, collection for final disposal;RoW;waste cement in concrete and mortar
8c669ca8-4e24-44a6-908b-be43d467ced0_6b7e58ca-8d06-49bd-8b8e-02673cda3297.spold;diesel-electric generating set production 18.5kW;GLO;diesel-electric generating set, 18.5kW
8c67bfeb-1ea1-4836-b330-c2f2cae0eac2_ac607c93-afd8-42a0-87d7-c6e4dc3cb1e0.spold;silver mine operation with extraction;PE;silver, unrefined
8c67bfeb-1ea1-4836-b330-c2f2cae0eac2_b7e3b1ef-098a-48f1-b686-8baa82cff1d3.spold;silver mine operation with extraction;PE;zinc concentrate
8c67bfeb-1ea1-4836-b330-c2f2cae0eac2_d5f3fdb3-44b1-4f40-a9b8-207c0552c552.spold;silver mine operation with extraction;PE;lead concentrate
8c692eb3-8439-4f57-9f7a-b704cfbff62e_06b2e899-28ff-4702-b438-510b9d340e48.spold;treatment of waste x-ray film;GLO;waste x-ray film
8c692eb3-8439-4f57-9f7a-b704cfbff62e_9a7e6cdc-79c0-4872-840d-a8a2fd723189.spold;treatment of waste x-ray film;GLO;silver
8c6b04b9-d406-4285-b05b-dcd5cd1c009f_27da8130-82ba-485c-a800-b89efdcb0491.spold;market for municipal solid waste;GR;municipal solid waste
8c6d9466-7d02-4f89-9ffa-3f430331cb8d_cf34bfa7-b49b-4ca1-a94d-0eff5dbd23d8.spold;market for transport, freight, lorry 3.5-7.5 metric ton, unregulated;BR;transport, freight, lorry 3.5-7.5 metric ton, unregulated
8c76e4cc-bb64-467d-a0ff-8e4111e34000_4c2bb0f0-422d-4fb3-bcfe-a36ef1b55874.spold;market for land tenure, arable land, measured as carbon net primary productivity, annual crop;BR-RR;land tenure, arable land, measured as carbon net primary productivity, annual crop
8c7daaaf-bf6d-43c3-b4fd-2ecd0cb0ab1c_36d054aa-1fc1-46a5-9267-1575039b651b.spold;water pump operation, diesel;CH;water pump operation, diesel
8c7fea39-e3fe-426e-9fe0-722f3f1d22a5_d51e5a32-c20a-4da6-8d58-31f344b50c00.spold;treatment of waste graphical paper, open burning;GLO;waste graphical paper
8c84401d-4988-489f-b8d2-d4f1c578a46a_01246895-e90d-43e4-9e35-ff4031c458f7.spold;market for waste, from silicon wafer production;GLO;waste, from silicon wafer production
8c853eef-c60c-404e-bd1e-43a945eb4415_d69294d7-8d64-4915-a896-9996a014c410.spold;market for electricity, low voltage;BY;electricity, low voltage
8c929e68-6f2a-4621-ab63-8eeb49646a61_45de5067-49da-472e-8e49-cf79714646c0.spold;tree seedling production, in heated greenhouse;RER;tree seedling, for planting
8c94e1c1-0c0f-49bb-b4c5-86fded8b2414_4d99bc33-b641-4573-ada2-12a788afbbd5.spold;market for sawnwood, beam, softwood, raw, dried (u=10%);RoW;sawnwood, beam, softwood, raw, dried (u=10%)
8c99cf8f-ec48-48a5-a9bc-d13d8036c597_0cc1fded-a4e2-4c97-8fef-227c2475f7f7.spold;bleaching, textile;BD;bleaching, textile
8c9da434-030e-427e-9ac7-a5f9b51e4d73_cca439a0-2e00-45f0-a360-2aad6ce606a9.spold;treatment of refractory spent pot liner from Al electrolysis, residual material landfill;RoW;refractory spent pot liner from Al electrolysis
8ca21020-1d67-447a-955d-10ed610cb1eb_8931016e-3e07-5c9a-91a6-cd85b90a2aaa.spold;clear-cutting, primary forest to arable land, pasture, man made;BR-AP;land tenure, arable land, measured as carbon net primary productivity, pasture, man made
8ca3634d-e600-432d-a280-736c51636668_817c3650-4fed-4ef2-b9b6-404a198834e6.spold;steel production, converter, low-alloyed;IN;steel, low-alloyed
8ca5e265-2a41-4e50-b59f-0a7bfd30e264_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hydro, run-of-river;JP;electricity, high voltage
