Filename;ActivityName;Location;ReferenceProduct
00f78239-8f0e-4442-af4e-6977c8051edb_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, nuclear, boiling water reactor;US-SERC;electricity, high voltage
00f79342-a007-45f6-9851-39c658b20d1f_e79575a7-0b20-46d5-94b2-99d1916105db.spold;quicklime production, in pieces, loose;RoW;quicklime, in pieces, loose
00f8037c-27a9-4aa8-8223-e12c35b7a1ce_babbfb13-a047-4b0d-80ee-0fb67d0305a9.spold;hazardous waste incineration facility construction;CH;hazardous waste incineration facility
01052d26-89ee-446b-bc65-45004bc05ed7_883d5a49-8277-4f45-bdfb-e960aeb7776d.spold;window frame production, poly vinyl chloride, U=1.6 W/m2K;RER;window frame, poly vinyl chloride, U=1.6 W/m2K
010587ba-3b35-4890-9db1-cf61d8c7fd0c_5d4272ad-9823-4d20-981a-d57f81cef653.spold;market for transport, passenger train;GLO;transport, passenger train
0108d440-a725-4912-bce1-84a41cabd3b5_9cdb112b-0d90-4d76-9cec-412b0c67d8bb.spold;treatment of waste polyurethane, open dump, hyperarid infiltration class (-250mm);GLO;waste polyurethane
0108fbd5-c7d3-454b-950f-59ddbf779f46_22cdac63-419a-4980-ad99-5c0caff0a614.spold;soybean meal and crude oil production, mechanical extraction;CA-QC;soybean meal
0108fbd5-c7d3-454b-950f-59ddbf779f46_8b2dfb58-660d-44eb-b83f-5d9e28e467db.spold;soybean meal and crude oil production, mechanical extraction;CA-QC;protein feed, 100% crude
0108fbd5-c7d3-454b-950f-59ddbf779f46_a139bc38-bdfb-471d-8a42-97bc8939ee82.spold;soybean meal and crude oil production, mechanical extraction;CA-QC;soybean oil, crude
010b422a-0858-40a1-90cc-ef0366fc76fc_0793f6d6-802f-40de-9a18-1f6bc0f351e5.spold;rosin size production, for paper production;RER;rosin size, for paper production
010cc600-b401-485d-8599-38af45c2442d_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity voltage transformation from medium to low voltage;TW;electricity, low voltage
010f1fb6-b726-4f0a-8d98-3d42594b9521_8cf5de7a-4796-4cfc-bd53-9b7148841b20.spold;market for tillage, rotary cultivator;GLO;tillage, rotary cultivator
010f7137-e68e-4825-bf8e-ed20c4af79e5_50306184-2a7e-4825-8e5d-fe8e674d1274.spold;clinker production;BR;biowaste
01138058-a1f9-49cf-9566-1dcee9844742_76ab0018-e176-43e0-b42c-12e82b937fef.spold;cement production, pozzolana and fly ash 36-55%;RoW;hard coal ash
011bdc36-5e99-4e95-b16e-5c9cd64ba596_42baed81-24d1-4aed-a120-cc7d35ddac10.spold;market for waste paperboard;RoW;waste paperboard
0124a7aa-fc30-4b4e-8f3f-04b117248e34_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;electricity voltage transformation from high to medium voltage;MM;electricity, medium voltage
01253d0c-ee81-45b3-a331-3ec31be36808_4058ca6d-92c0-4ce5-bdc9-a3a96eeade93.spold;treatment of waste gypsum plasterboard, sorting plant;CH;waste gypsum plasterboard
0125a943-b67a-43d0-bbcf-3aeb2efcc403_c19cb6b8-d0e2-44f9-b782-920f91babe0a.spold;market for pointing device, optical mouse, with cable;GLO;pointing device, optical mouse, with cable
0125db6a-ae42-4a55-9fb9-f37833612fc9_1adc665e-bf97-4113-a2bf-567f6c781504.spold;coconut production, dehusked;ID;coconut, dehusked
012732bf-3a86-4106-a6a4-15a74c5cb07c_4f312355-ac65-4635-8fb2-006dba64ce60.spold;sorting and pressing of iron scrap;RoW;iron scrap, sorted, pressed
012a3869-dedf-44a9-b603-a6c11d53da0c_66c93e71-f32b-4591-901c-55395db5c132.spold;treatment of blast furnace gas, in power plant;AU;electricity, high voltage
012a3869-dedf-44a9-b603-a6c11d53da0c_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;treatment of blast furnace gas, in power plant;AU;heat, district or industrial, other than natural gas
013b140d-dc7c-48e2-83c3-8eb33cfa32b9_9b9edcf3-0539-4642-9516-0df642a5c41a.spold;land already in use, perennial cropland to perennial crop;AR;land tenure, arable land, measured as carbon net primary productivity, perennial crop
013f7d36-acd4-43d1-b7e6-13769f6f5133_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, production mix;FI;electricity, high voltage
0140f01c-1dbc-4bf6-bec6-17f095769152_2540e7b1-583b-49c3-a53f-db748f92f730.spold;sulfate pulp production, from eucalyptus, bleached;RLA;sulfate pulp, bleached
0140f01c-1dbc-4bf6-bec6-17f095769152_66c93e71-f32b-4591-901c-55395db5c132.spold;sulfate pulp production, from eucalyptus, bleached;RLA;electricity, high voltage
0140f01c-1dbc-4bf6-bec6-17f095769152_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;sulfate pulp production, from eucalyptus, bleached;RLA;heat, district or industrial, other than natural gas
014294bc-d51a-4e84-816d-b9ff4e99517d_883e77e1-98eb-4be0-9608-5b4365d19676.spold;cover plaster production, mineral;CH;cover plaster, mineral
