eval,ESA
371,723.9040333211274
372,723.9040333211274
373,723.9040333211274
374,723.9040333211274
375,723.9040333211274
376,723.9040333211274
377,723.9040333211274
378,723.9040333211274
379,723.9040333211274
380,723.9040333211274
381,723.9040333211274
382,723.9040333211274
383,723.9040333211274
384,723.9040333211274
385,723.9040333211274
386,723.9040333211274
387,723.9040333211274
388,723.9040333211274
389,723.9040333211274
390,723.9040333211274
391,723.9040333211274
392,723.9040333211274
393,723.9040333211274
394,723.9040333211274
395,723.9040333211274
396,723.9040350940608
397,723.9040340826998
398,721.2571919163827
399,702.9417530052149
400,702.9417546842822
401,702.9417537306881
402,702.9417529908955
403,698.8348729572367
404,698.8348746219966
405,698.83487367413
406,698.8348729572367
407,698.8348750891981
408,698.83487675393
409,698.8348758060868
410,698.8348750891981
411,698.835022194547
412,698.8350238593994
413,698.8350229114615
414,698.835022194547
415,698.835022194547
416,698.834991047765
417,698.8349927125836
418,698.834991047765
419,698.8349413028043
420,698.8349429675027
421,698.8349420196473
422,698.8349413028043
423,698.8349610482628
424,698.8349627131524
425,698.8349617650749
426,698.8349610482628
427,698.8349610494785
428,698.8349610482628
429,698.8348765138633
430,698.8348781786376
431,698.8348772308012
432,698.8348765138633
433,698.834876516123
434,698.8348773102089
435,698.8348763621722
436,698.8348756452402
437,698.8348756452402
438,698.8348740130723
439,698.8348756780229
440,698.8348747299675
441,698.8348740130723
442,698.8348740130723
443,698.8348843661612
444,698.8348834182825
445,698.8348827012899
446,698.838096641489
447,698.8380983065092
448,698.8380973585752
449,698.8352302078978
450,698.8352318728887
451,698.835230203206
452,698.8352302103984
453,698.8352302078978
454,698.8350191782413
455,698.8350208429379
456,698.8350198952169
457,698.8349412194018
458,698.8349428843183
459,698.8349412194018
460,698.8349128987672
461,698.8349145637435
462,698.8349136157605
463,698.8349119725744
464,698.8349128987672
465,698.8349128939576
466,698.8349128987672
467,698.834933516625
468,698.8349351815493
469,698.8349342335498
470,698.8349035620063
471,698.8349052269144
472,698.8349042790279
473,698.8349035620063
474,698.8349035620063
475,698.8348824303648
476,698.8348840953144
477,698.8348831474299
478,698.8388354005149
479,698.8388370654188
480,698.8388361172883
481,698.8388353811615
482,698.8425345753903
483,698.8425362399906
484,698.8425352921165
485,698.8425345753903
486,698.8425345753903
487,698.8356475257731
488,698.8356491907764
489,698.8356482426888
490,698.8356475257731
491,698.8356475257731
492,698.8356475257731
493,698.8350404865621
494,698.8350421513475
495,698.8350412033925
496,698.8350395602627
497,698.8350404865621
498,698.8350404865621
499,698.8349567929002
500,698.8349584577396
501,698.8349575097172
502,698.8349567929002
503,698.8402430003434
504,698.8402446649827
505,698.8402437172149
506,698.8402430026599
507,698.8402430003434
508,698.8378496328112
509,698.837851297775
510,698.8378503498956
511,698.8378496328112
512,698.8351710959695
513,698.8351727605298
514,698.8351718128928
515,698.8351710959695
516,698.8350222466745
517,698.8350239113997
518,698.8350229635724
519,698.8350222419326
520,698.8350222466745
521,698.8350222466745
522,698.8350471237758
523,698.8350487886217
524,698.8350478406187
525,698.8350471237758
526,698.8349600872767
527,698.834961752043
528,698.8349608041209
529,698.8349267304121
530,698.8349283954002
531,698.8349274474614
532,698.8349258044243
533,698.8349267304121
534,698.8348998929018
535,698.8349015578369
536,698.8349006098528
537,698.8348998929018
538,698.8983077941796
539,698.8983094592402
540,698.8983085109278
541,698.8983077941796
542,698.8422728935099
543,698.8422745584162
544,698.8422736104283
545,698.8422728935099
546,698.808834477779
547,698.8088361426528
548,698.808834477779
549,698.9083641073012
550,698.908365772488
551,698.9083641073012
552,698.9083641073012
553,699.0506463955448
554,699.050648061362
555,699.0506471121547
556,699.0506463955448
557,699.1513539101127
558,699.151355576341
559,699.1513546268068
560,699.1513539101127
561,699.0699998949079
562,699.0700015605307
563,699.070000611569
564,698.9338205087713
565,698.9338221753237
566,698.9338212249633
567,698.9338205087713
568,699.0563876496943
569,699.056389315575
570,699.0563883662796
571,699.0563876496943
572,699.0686387364435
573,699.0686404022177
574,699.068639452983
575,699.0686387364435
576,699.0698637796199
577,699.0698654453466
578,699.0698644963638
579,699.0698628527407
580,699.0698637602707
581,699.0698637796199
582,699.0698637796199
583,699.0699861663131
584,699.0699878321105
585,699.0699868830275
586,699.0699861663131
587,699.0699899175663
588,699.0699915831003
589,699.0699906341612
590,699.0699899175663
591,699.0699946733466
592,699.06999633892
593,699.0699953898679
594,699.0699946733466
595,699.0699973853856
596,699.0699990510714
597,699.0699981021552
598,697.9209472091806
599,697.9209488763595
600,697.9209479207536
601,697.9209472091806
602,698.9560503215131
603,698.9560519877185
604,698.9560510375535
605,698.9560503215131
606,699.0586154028144
607,699.05861706847
608,699.0586161192554
609,699.0586154028144
610,699.0586154028144
611,699.0688615056638
612,699.0688631714831
613,699.068862222138
614,699.0688615056638
615,699.0697232468086
616,699.069724912458
617,699.0697239633857
618,699.0697232468086
619,699.0698616216122
620,699.0698632875238
621,699.0698623384433
622,699.0698616550019
623,699.069861617138
624,699.0698616216122
625,699.0699297933143
626,699.0699314590711
627,699.069930510045
628,699.0699297933143
629,699.0699297933143
630,699.0699931688973
631,699.0700040065834
632,699.0700056723169
633,699.0700047231767
634,699.7709634658578
635,699.7709651402203
636,699.7709641762648
637,699.7709634658578
638,699.1397947002242
639,699.1397963672033
640,699.1397954163739
641,699.1397947002242
642,699.0769772046243
643,699.0769788703174
644,699.0769779211571
645,699.0769772046243
646,699.0706957571907
647,699.0706974228042
648,699.0706964738332
649,699.0700696007822
650,699.0700712665828
651,699.0700703173271
652,699.0700698253547
653,699.0700696007822
654,699.0699911746461
655,699.069992840222
656,699.0699918912276
657,699.0699911746461
658,699.0699911702206
659,699.0699989337865
660,699.0699996501573
661,698.2896933470216
662,698.2896950184495
663,698.2896940565857
664,698.2896933276788
665,698.2896933470216
666,698.2896933470216
667,698.9578419393977
668,698.9578436070792
669,698.9578426555614
670,698.9578419393977
671,699.0587875438666
672,699.0587892097446
673,699.0587882603484
674,699.0683926986051
675,699.0683943644938
676,699.0683934152389
677,699.0696186218627
678,699.0696202877695
679,699.0696193385743
680,699.0696186234779
681,699.0696186218627
682,699.0698088239247
683,699.0698104896672
684,699.0698095405612
685,699.0698088195852
686,699.0699038473849
687,699.0699055132036
688,699.0699045640757
689,699.0699038280356
690,699.0699038430903
691,699.0699518690463
692,699.069953534876
693,699.0699525856331
694,697.4100826040034
695,697.4100842685806
696,697.4100833134055
697,697.4100826040034
698,698.9880183021295
699,698.9880199621934
700,698.9880190162401
701,698.9880183021295
702,699.0619714257407
703,699.0619730912406
704,699.0619721423303
705,699.0619704988883
706,699.0619714257407
707,699.0619714257407
708,699.0692056447892
709,699.0692073105996
710,699.0692063613908
711,699.0692056447892
712,699.0699204832468
713,699.06992214885
714,699.0699211996559
715,699.069920478637
716,699.0699601126507
717,699.0699617784294
718,699.0699608291649
719,699.0699601082576
720,699.0699957206054
721,699.0699973860562
722,699.0699964371327
723,699.0700010399794
724,697.7584954652264
725,697.7584971356144
726,697.7584961750671
727,697.7584954652264
728,697.7584954541302
729,697.7584954652264
730,698.9384919310405
